[2025-06-01 00:09:06,177] 16 root - INFO - Initiate the data ingestion
[2025-06-01 00:09:09,000] 59 root - INFO - Performed train-test split on DataFrame
[2025-06-01 00:09:09,032] 67 root - INFO - Exported train and test data to their respective paths
[2025-06-01 00:09:09,032] 18 root - INFO - Data ingestion completed
[2025-06-01 00:09:09,036] 24 root - INFO - Initiate the data validation
[2025-06-01 00:09:09,049] 31 root - INFO - required number of column: 2
[2025-06-01 00:09:09,049] 32 root - INFO - data frame has column: 31
[2025-06-01 00:09:09,049] 31 root - INFO - required number of column: 2
[2025-06-01 00:09:09,049] 32 root - INFO - data frame has column: 31
[2025-06-01 00:09:09,049] 48 root - INFO - All numerical columns exist in the dataframe.
[2025-06-01 00:09:09,049] 48 root - INFO - All numerical columns exist in the dataframe.
[2025-06-01 00:09:09,153] 26 root - INFO - Data validation completed
