[2025-06-05 22:53:42,928] 20 root - INFO - Initiate the data ingestion
[2025-06-05 22:53:45,414] 59 root - INFO - Performed train-test split on DataFrame
[2025-06-05 22:53:45,447] 67 root - INFO - Exported train and test data to their respective paths
[2025-06-05 22:53:45,447] 22 root - INFO - Data ingestion completed
[2025-06-05 22:53:45,450] 28 root - INFO - Initiate the data validation
[2025-06-05 22:53:45,462] 31 root - INFO - required number of column: 2
[2025-06-05 22:53:45,462] 32 root - INFO - data frame has column: 31
[2025-06-05 22:53:45,462] 31 root - INFO - required number of column: 2
[2025-06-05 22:53:45,462] 32 root - INFO - data frame has column: 31
[2025-06-05 22:53:45,462] 48 root - INFO - All numerical columns exist in the dataframe.
[2025-06-05 22:53:45,462] 48 root - INFO - All numerical columns exist in the dataframe.
[2025-06-05 22:53:45,618] 30 root - INFO - Data validation completed
[2025-06-05 22:53:45,618] 33 root - INFO - Data transformation started
[2025-06-05 22:53:45,618] 46 root - INFO - entered initiate_data_transformation method
[2025-06-05 22:53:45,618] 48 root - INFO - started data transformation
[2025-06-05 22:53:45,628] 34 root - INFO - enterd get_data_transformer_object method
[2025-06-05 22:53:45,628] 37 root - INFO - intialise Knnimputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-05 22:53:45,632] 48 root - INFO - NumPy array saved successfully to: Artifact/06_05_2025_22_53_41/data_transformation/transformed/train.npy
[2025-06-05 22:53:45,632] 48 root - INFO - NumPy array saved successfully to: Artifact/06_05_2025_22_53_41/data_transformation/transformed/test.npy
[2025-06-05 22:53:45,632] 54 root - INFO - entered save_object
[2025-06-05 22:53:45,634] 58 root - INFO - Object saved successfully to: Artifact/06_05_2025_22_53_41/data_transformation/transformed_object/preprocessor.pkl
[2025-06-05 22:53:45,634] 37 root - INFO - Data transformation completed
[2025-06-05 22:53:45,634] 38 root - INFO - Model Training started
