[2025-06-05 22:52:02,265] 18 root - INFO - Initiate the data ingestion
[2025-06-05 22:52:06,243] 59 root - INFO - Performed train-test split on DataFrame
[2025-06-05 22:52:06,276] 67 root - INFO - Exported train and test data to their respective paths
[2025-06-05 22:52:06,276] 20 root - INFO - Data ingestion completed
[2025-06-05 22:52:06,280] 26 root - INFO - Initiate the data validation
[2025-06-05 22:52:06,290] 31 root - INFO - required number of column: 2
[2025-06-05 22:52:06,290] 32 root - INFO - data frame has column: 31
[2025-06-05 22:52:06,290] 31 root - INFO - required number of column: 2
[2025-06-05 22:52:06,291] 32 root - INFO - data frame has column: 31
[2025-06-05 22:52:06,291] 48 root - INFO - All numerical columns exist in the dataframe.
[2025-06-05 22:52:06,291] 48 root - INFO - All numerical columns exist in the dataframe.
[2025-06-05 22:52:06,383] 28 root - INFO - Data validation completed
[2025-06-05 22:52:06,383] 31 root - INFO - Data transformation started
[2025-06-05 22:52:06,383] 46 root - INFO - entered initiate_data_transformation method
[2025-06-05 22:52:06,383] 48 root - INFO - started data transformation
[2025-06-05 22:52:06,393] 34 root - INFO - enterd get_data_transformer_object method
[2025-06-05 22:52:06,393] 37 root - INFO - intialise Knnimputer with{'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-06-05 22:52:06,397] 48 root - INFO - NumPy array saved successfully to: Artifact/06_05_2025_22_52_00/data_transformation/transformed/train.npy
[2025-06-05 22:52:06,399] 48 root - INFO - NumPy array saved successfully to: Artifact/06_05_2025_22_52_00/data_transformation/transformed/test.npy
[2025-06-05 22:52:06,399] 54 root - INFO - entered save_object
[2025-06-05 22:52:06,399] 58 root - INFO - Object saved successfully to: Artifact/06_05_2025_22_52_00/data_transformation/transformed_object/preprocessor.pkl
[2025-06-05 22:52:06,400] 35 root - INFO - Data transformation completed
[2025-06-05 22:52:06,400] 36 root - INFO - Model Training started
